111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
1,1,1,1,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
0,1,1,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,1,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,1,0,0
1,1,1,1,1
0,1,1,1,0
0,1,1,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,1,1,0,0
0,1,1,1,0
0,0,0,0,0
1,1,1,1,1
0,0,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
0,0,1,0,0
1,1,1,1,1
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
1,1,1,1,1
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,1,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,1,0,0
0,1,1,0,1
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,1,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
1,1,1,1,1
0,1,1,1,0
0,1,1,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,0,1
1,1,1,1,1
0,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
0,1,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,0,1
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
1,1,1,1,1
0,1,1,0,1
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
1,1,1,1,1
0,0,0,0,0
0,1,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,0,1
1,1,1,1,1
0,1,1,0,1
0,1,1,1,0
0,0,0,0,0
0,1,1,0,1
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
0,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
0,1,1,0,0
1,1,1,1,1
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
0,1,1,0,0
1,1,1,1,1
0,1,1,1,0
0,0,0,0,0
